Identificator;Date;Month;Day;Year;Hour;Minute;Second;Temperature;Relative_humidity;Vapor_Pressure_Deficit;Light;Soil_temperature;Permittivity;Electroconductivity;Volumetric_water_content;Diameter;Photosynthetically_Active_Radiation;Battery_voltage
16954292;2022-01-01 02:19:56;1;1;2022;2;19;56;24.58;81;0.59;25818;23.12;9.31;48;0.21;12.7016;1434.33;3.9
16954702;2022-01-01 02:36:16;1;1;2022;2;36;16;24.89;79;0.66;9998;23.12;9.29;48;0.209;12.695;555.44;3.9
16954851;2022-01-01 02:41:32;1;1;2022;2;41;32;24.28;79;0.64;4302;23.12;9.48;48;0.213;12.6964;239;3.93
16955132;2022-01-01 02:52:06;1;1;2022;2;52;6;24.14;81;0.57;4105;23.12;9.51;48;0.214;12.6983;228.06;3.92
16955662;2022-01-01 03:13:34;1;1;2022;3;13;34;24.35;78;0.67;6269;23.12;9.38;48;0.211;12.698;348.28;3.95
16955949;2022-01-01 03:24:14;1;1;2022;3;24;14;24.11;78;0.66;5114;23.12;9.24;48;0.209;12.6987;284.11;3.94
16956223;2022-01-01 03:34:55;1;1;2022;3;34;55;24.68;77;0.71;9051;23.1;9.29;48;0.21;12.6979;502.83;3.9
16956498;2022-01-01 03:45:35;1;1;2022;3;45;35;24.49;77;0.71;8846;23.1;9.19;48;0.208;12.698;491.44;3.9
16956762;2022-01-01 03:56:15;1;1;2022;3;56;15;25.08;76;0.76;9284;23.12;9.26;48;0.209;12.6964;515.78;3.9
16956897;2022-01-01 04:01:32;1;1;2022;4;1;32;25.2;76;0.77;33523;23.12;9.38;48;0.211;12.6957;1862.39;3.9
16957022;2022-01-01 04:06:48;1;1;2022;4;6;48;26.38;75;0.86;11238;23.12;9.29;48;0.209;12.6932;624.33;3.9
16957143;2022-01-01 04:12:04;1;1;2022;4;12;4;26.06;73;0.91;8803;23.15;9.24;48;0.208;12.6918;489.06;3.9
16957261;2022-01-01 04:17:20;1;1;2022;4;17;20;25.51;73;0.88;12220;23.15;9.33;48;0.21;12.6929;678.89;3.9
16957418;2022-01-01 04:22:36;1;1;2022;4;22;36;25.44;74;0.85;12620;23.12;9.36;48;0.211;12.6932;701.11;3.9
16957546;2022-01-01 04:27:52;1;1;2022;4;27;52;25.25;74;0.84;27433;23.15;9.21;48;0.208;12.6935;1524.06;3.9
16957807;2022-01-01 04:38:31;1;1;2022;4;38;31;26.63;72;0.98;35817;23.17;9.29;48;0.209;12.6914;1989.83;3.9
16957946;2022-01-01 04:43:46;1;1;2022;4;43;46;27.06;71;1.04;15762;23.15;9.29;48;0.209;12.6881;875.67;3.9
16958220;2022-01-01 04:54:24;1;1;2022;4;54;24;25.89;72;0.94;21922;23.17;9.31;48;0.209;12.691;1217.89;3.9
16958351;2022-01-01 04:59:39;1;1;2022;4;59;39;25.91;71;0.97;13916;23.2;9.31;48;0.209;12.6914;773.11;3.9
16958623;2022-01-01 05:10:24;1;1;2022;5;10;24;25.96;71;0.97;8518;23.2;9.24;48;0.208;12.6916;473.22;3.9
16958881;2022-01-01 05:21:25;1;1;2022;5;21;25;25.49;73;0.88;12338;23.2;9.21;48;0.207;12.6931;685.44;3.9
16959134;2022-01-01 05:31:57;1;1;2022;5;31;57;25.44;72;0.91;10342;23.25;9.29;48;0.209;12.6929;574.56;3.9
16959268;2022-01-01 05:37:13;1;1;2022;5;37;13;25.52;72;0.91;30860;23.25;9.21;48;0.207;12.6933;1714.44;3.9
16959675;2022-01-01 05:53:13;1;1;2022;5;53;13;26.58;70;1.04;6360;23.3;9.31;48;0.209;12.6894;353.33;3.9
16959799;2022-01-01 05:58:28;1;1;2022;5;58;28;26.86;68;1.13;10283;23.3;9.21;48;0.207;12.6896;571.28;3.9
16959924;2022-01-01 06:03:44;1;1;2022;6;3;44;27.05;69;1.11;14423;23.3;9.14;48;0.205;12.6896;801.28;3.9
16960054;2022-01-01 06:08:59;1;1;2022;6;8;59;27.12;69;1.11;8889;23.33;9.31;48;0.208;12.6899;493.83;3.9
16960186;2022-01-01 06:14:14;1;1;2022;6;14;14;26.99;70;1.07;5220;23.33;9.24;48;0.207;12.69;290;3.9
16960570;2022-01-01 06:30:14;1;1;2022;6;30;14;26.63;69;1.08;16985;23.38;9.26;48;0.207;12.6915;943.61;3.9
16960695;2022-01-01 06:35:29;1;1;2022;6;35;29;26.89;68;1.13;7903;23.4;9.26;48;0.207;12.6914;439.06;3.9
16960968;2022-01-01 06:46:13;1;1;2022;6;46;13;27.29;67;1.2;8439;23.43;9.41;47;0.21;12.6917;468.83;3.9
16961092;2022-01-01 06:51:28;1;1;2022;6;51;28;26.96;68;1.14;14177;23.45;9.26;48;0.207;12.6924;787.61;3.9
16961210;2022-01-01 06:56:43;1;1;2022;6;56;43;27.11;68;1.15;7754;23.45;9.29;48;0.207;12.692;430.78;3.9
16961354;2022-01-01 07:01:58;1;1;2022;7;1;58;27.1;69;1.11;16475;23.48;9.41;48;0.209;12.6929;915.28;3.9
16961486;2022-01-01 07:07:13;1;1;2022;7;7;13;27.34;69;1.13;5522;23.48;9.31;48;0.207;12.6922;306.78;3.93
16961865;2022-01-01 07:23:12;1;1;2022;7;23;12;25.78;71;0.96;6597;23.53;9.26;47;0.206;12.6975;366.5;3.95
16961988;2022-01-01 07:28:29;1;1;2022;7;28;29;25.79;71;0.96;17945;23.56;9.36;47;0.208;12.6987;996.94;3.9
16962128;2022-01-01 07:33:45;1;1;2022;7;33;45;25.95;71;0.97;6376;23.58;9.29;47;0.206;12.6993;354.22;3.95
16962261;2022-01-01 07:39:01;1;1;2022;7;39;1;25.64;73;0.89;8783;23.61;9.29;47;0.206;12.7;487.94;3.9
16962385;2022-01-01 07:44:17;1;1;2022;7;44;17;25.69;72;0.92;3903;23.61;9.29;47;0.206;12.7007;216.83;3.92
16962514;2022-01-01 07:49:33;1;1;2022;7;49;33;25.64;73;0.89;20225;23.63;9.09;47;0.202;12.7003;1123.61;3.9
16963053;2022-01-01 08:10:48;1;1;2022;8;10;48;26.37;71;1;16048;23.73;9.21;47;0.204;12.6993;891.56;3.9
16963179;2022-01-01 08:16:03;1;1;2022;8;16;3;26.56;70;1.04;5443;23.73;9.26;47;0.205;12.6969;302.39;3.92
16963576;2022-01-01 08:31:59;1;1;2022;8;31;59;25.97;71;0.97;8142;23.81;9.26;47;0.204;12.6991;452.33;3.9
16963712;2022-01-01 08:37:14;1;1;2022;8;37;14;25.82;71;0.96;4601;23.81;9.24;47;0.204;12.7001;255.61;3.93
16963859;2022-01-01 08:42:29;1;1;2022;8;42;29;25.32;73;0.87;4655;23.84;9.29;47;0.204;12.7021;258.61;3.93
16964128;2022-01-01 08:53:07;1;1;2022;8;53;7;24.77;74;0.81;8236;23.86;9.26;47;0.204;12.7044;457.56;3.9
16964396;2022-01-01 09:03:40;1;1;2022;9;3;40;24.5;75;0.77;7864;23.96;9.31;47;0.204;12.7066;436.89;3.9
16964828;2022-01-01 09:19:41;1;1;2022;9;19;41;24.82;74;0.81;3442;23.96;9.31;47;0.204;12.7068;191.22;3.93
16964970;2022-01-01 09:25:03;1;1;2022;9;25;3;24.69;74;0.81;2526;23.96;9.16;47;0.201;12.707;140.33;3.93
16965111;2022-01-01 09:30:19;1;1;2022;9;30;19;24.66;75;0.78;3702;23.99;9.29;47;0.203;12.7072;205.67;3.93
16965257;2022-01-01 09:35:40;1;1;2022;9;35;40;24.6;74;0.8;3923;24.04;9.29;47;0.203;12.7076;217.94;3.93
16965401;2022-01-01 09:40:57;1;1;2022;9;40;57;24.41;75;0.76;2505;24.04;9.16;47;0.201;12.7084;139.17;3.92
16965545;2022-01-01 09:46:13;1;1;2022;9;46;13;24.39;75;0.76;2648;24.04;9.33;47;0.204;12.7087;147.11;3.92
16965812;2022-01-01 09:56:46;1;1;2022;9;56;46;24.08;75;0.75;2009;24.04;9.33;47;0.204;12.7105;111.61;3.91
16965948;2022-01-01 10:02:02;1;1;2022;10;2;2;23.55;77;0.67;1211;24.06;9.24;47;0.202;12.7117;67.28;3.91
16966091;2022-01-01 10:07:19;1;1;2022;10;7;19;23.46;77;0.66;1667;24.06;9.29;47;0.203;12.7123;92.61;3.91
16966367;2022-01-01 10:17:59;1;1;2022;10;17;59;22.86;78;0.61;583;24.11;9.29;47;0.203;12.7156;32.39;3.9
16966514;2022-01-01 10:23:17;1;1;2022;10;23;17;22.65;79;0.58;399;24.14;9.21;47;0.201;12.7166;22.17;3.9
16966658;2022-01-01 10:28:35;1;1;2022;10;28;35;22.48;79;0.57;252;24.14;9.19;47;0.2;12.7182;14;3.9
16966794;2022-01-01 10:33:53;1;1;2022;10;33;53;22.36;80;0.54;138;24.14;9.29;47;0.202;12.7195;7.67;3.9
16966931;2022-01-01 10:39:11;1;1;2022;10;39;11;22.24;80;0.54;63;24.16;9.24;47;0.201;12.7209;3.5;3.9
16967217;2022-01-01 10:49:48;1;1;2022;10;49;48;22.08;81;0.5;3;24.16;9.29;46;0.202;12.7225;0.17;3.9
16967647;2022-01-01 11:06:10;1;1;2022;11;6;10;21.83;82;0.47;0;24.19;9.21;47;0.2;12.7252;0;3.9
16967784;2022-01-01 11:11:29;1;1;2022;11;11;29;21.82;82;0.47;0;24.24;9.31;47;0.202;12.7255;0;3.9
16967919;2022-01-01 11:16:48;1;1;2022;11;16;48;21.82;82;0.47;0;24.22;9.33;47;0.203;12.7258;0;3.9
16968053;2022-01-01 11:22:07;1;1;2022;11;22;7;21.72;83;0.44;0;24.22;9.14;47;0.199;12.7266;0;3.9
16968341;2022-01-01 11:32:51;1;1;2022;11;32;51;21.58;84;0.41;0;24.27;9.36;47;0.203;12.7277;0;3.9
16968638;2022-01-01 11:43:36;1;1;2022;11;43;36;21.43;84;0.41;0;24.22;9.19;47;0.2;12.7289;0;3.9
16968789;2022-01-01 11:48:55;1;1;2022;11;48;55;21.43;84;0.41;0;24.22;9.16;47;0.199;12.7288;0;3.9
16968927;2022-01-01 11:54:14;1;1;2022;11;54;14;21.42;84;0.41;0;24.22;9.19;47;0.2;12.729;0;3.9
16969200;2022-01-01 12:04:58;1;1;2022;12;4;58;21.43;84;0.41;0;24.22;9.24;47;0.201;12.7293;0;3.9
16969332;2022-01-01 12:10:17;1;1;2022;12;10;17;21.37;85;0.38;0;24.22;9.33;47;0.203;12.7296;0;3.9
16969464;2022-01-01 12:15:37;1;1;2022;12;15;37;21.32;85;0.38;0;24.22;9.24;47;0.201;12.7298;0;3.9
16969596;2022-01-01 12:20:56;1;1;2022;12;20;56;21.27;85;0.38;0;24.22;9.21;47;0.2;12.7301;0;3.9
16969731;2022-01-01 12:26:15;1;1;2022;12;26;15;21.25;85;0.38;0;24.22;9.24;47;0.201;12.7302;0;3.9
16970000;2022-01-01 12:37:00;1;1;2022;12;37;0;21.22;86;0.35;0;24.22;9.24;47;0.201;12.7307;0;3.9
16970267;2022-01-01 12:47:50;1;1;2022;12;47;50;21.17;86;0.35;0;24.22;9.21;47;0.2;12.7311;0;3.9
16970403;2022-01-01 12:53:09;1;1;2022;12;53;9;21.15;87;0.33;0;24.22;9.24;47;0.201;12.7314;0;3.9
16970547;2022-01-01 12:58:28;1;1;2022;12;58;28;21.13;87;0.33;0;24.16;9.24;47;0.201;12.7315;0;3.9
16970687;2022-01-01 13:03:47;1;1;2022;13;3;47;21.07;87;0.32;0;24.19;9.31;47;0.202;12.7316;0;3.9
16970828;2022-01-01 13:09:07;1;1;2022;13;9;7;21.08;87;0.32;0;24.16;9.26;47;0.202;12.7319;0;3.9
16970966;2022-01-01 13:14:26;1;1;2022;13;14;26;21.13;87;0.33;0;24.16;9.21;47;0.201;12.7318;0;3.9
16971100;2022-01-01 13:19:45;1;1;2022;13;19;45;21.19;87;0.33;0;24.19;9.14;47;0.199;12.7317;0;3.9
16971359;2022-01-01 13:30:24;1;1;2022;13;30;24;21.06;87;0.32;0;24.14;9.21;47;0.201;12.7317;0;3.9
16971487;2022-01-01 13:35:43;1;1;2022;13;35;43;20.99;88;0.3;0;24.16;9.16;47;0.2;12.732;0;3.9
16971755;2022-01-01 13:46:37;1;1;2022;13;46;37;21.11;88;0.3;0;24.14;9.14;47;0.199;12.7318;0;3.9
16971895;2022-01-01 13:52:07;1;1;2022;13;52;7;21.1;88;0.3;0;24.11;9.24;47;0.202;12.7317;0;3.9
16972019;2022-01-01 13:57:26;1;1;2022;13;57;26;21;88;0.3;0;24.11;9.11;47;0.199;12.732;0;3.9
16972303;2022-01-01 14:08:11;1;1;2022;14;8;11;21.04;88;0.3;0;24.11;9.21;46;0.201;12.7319;0;3.9
16972430;2022-01-01 14:13:36;1;1;2022;14;13;36;20.98;88;0.3;0;24.09;9.31;45;0.203;12.7319;0;3.9
16972930;2022-01-01 14:35:06;1;1;2022;14;35;6;20.83;89;0.27;0;24.06;9.19;47;0.201;12.7328;0;3.9
16973052;2022-01-01 14:40:25;1;1;2022;14;40;25;20.83;89;0.27;0;24.06;9.24;47;0.202;12.7329;0;3.9
16973430;2022-01-01 14:56:52;1;1;2022;14;56;52;20.65;90;0.24;0;24.04;9.29;47;0.203;12.7332;0;3.9
16973543;2022-01-01 15:02:11;1;1;2022;15;2;11;20.65;90;0.24;0;24.11;9.14;47;0.2;12.7332;0;3.9
16973924;2022-01-01 15:18:18;1;1;2022;15;18;18;20.43;91;0.22;0;24.01;9.06;47;0.199;12.7337;0;3.9
16974055;2022-01-01 15:23:38;1;1;2022;15;23;38;20.41;91;0.22;0;23.94;9.24;45;0.203;12.7339;0;3.9
16974178;2022-01-01 15:28:58;1;1;2022;15;28;58;20.4;91;0.22;0;23.96;9.26;47;0.203;12.734;0;3.9
16974427;2022-01-01 15:39:43;1;1;2022;15;39;43;20.33;91;0.21;0;23.96;9.21;47;0.202;12.7338;0;3.9
16974551;2022-01-01 15:45:03;1;1;2022;15;45;3;20.34;91;0.21;0;23.96;9.19;47;0.202;12.735;0;3.9
16974675;2022-01-01 15:50:23;1;1;2022;15;50;23;20.33;91;0.21;0;23.96;9.16;47;0.201;12.7376;0;3.9
16974795;2022-01-01 15:55:42;1;1;2022;15;55;42;20.31;91;0.21;0;23.94;9.36;47;0.205;12.7356;0;3.9
16975309;2022-01-01 16:17:24;1;1;2022;16;17;24;20.51;91;0.22;0;23.91;9.21;47;0.202;12.7341;0;3.89
16975433;2022-01-01 16:22:44;1;1;2022;16;22;44;20.55;91;0.22;0;23.91;9.26;47;0.203;12.7341;0;3.89
16975561;2022-01-01 16:28:03;1;1;2022;16;28;3;20.69;90;0.24;0;23.89;9.21;47;0.203;12.7346;0;3.89
16975671;2022-01-01 16:33:23;1;1;2022;16;33;23;20.68;90;0.24;0;23.89;9.16;47;0.202;12.7344;0;3.89
16975794;2022-01-01 16:38:42;1;1;2022;16;38;42;20.65;90;0.24;0;23.86;9.21;47;0.203;12.734;0;3.89
16975924;2022-01-01 16:44:02;1;1;2022;16;44;2;20.64;90;0.24;0;23.89;9.31;47;0.204;12.7343;0;3.89
16976043;2022-01-01 16:49:21;1;1;2022;16;49;21;20.71;90;0.24;0;23.86;9.26;47;0.204;12.7346;0;3.89
16976160;2022-01-01 16:54:41;1;1;2022;16;54;41;20.66;90;0.24;0;23.84;9.29;47;0.204;12.7339;0;3.89
16976405;2022-01-01 17:05:26;1;1;2022;17;5;26;20.58;90;0.24;0;23.81;9.24;47;0.204;12.7332;0;3.89
16976523;2022-01-01 17:10:46;1;1;2022;17;10;46;20.51;91;0.22;0;23.81;9.21;47;0.203;12.7322;0;3.89
16976642;2022-01-01 17:16:05;1;1;2022;17;16;5;20.44;91;0.22;0;23.81;9.19;47;0.203;12.7329;0;3.89
16976756;2022-01-01 17:21:25;1;1;2022;17;21;25;20.4;91;0.22;0;23.81;9.09;47;0.201;12.7331;0;3.89
16976889;2022-01-01 17:26:45;1;1;2022;17;26;45;20.37;91;0.22;0;23.81;9.11;47;0.201;12.7332;0;3.89
16977012;2022-01-01 17:32:04;1;1;2022;17;32;4;20.35;91;0.22;0;23.79;9.24;47;0.204;12.7333;0;3.89
16977141;2022-01-01 17:37:24;1;1;2022;17;37;24;20.37;91;0.22;0;23.76;9.21;47;0.203;12.733;0;3.89
16977269;2022-01-01 17:42:49;1;1;2022;17;42;49;20.35;91;0.22;0;23.76;9.14;47;0.202;12.7332;0;3.89
16977654;2022-01-01 17:59:01;1;1;2022;17;59;1;20.25;92;0.19;0;23.73;9.21;47;0.204;12.7333;0;3.89
16977780;2022-01-01 18:04:25;1;1;2022;18;4;25;20.24;92;0.19;0;23.73;9.19;47;0.203;12.7333;0;3.89
16977919;2022-01-01 18:09:45;1;1;2022;18;9;45;20.2;92;0.19;0;23.73;9.29;47;0.205;12.733;0;3.89
16978048;2022-01-01 18:15:11;1;1;2022;18;15;11;20.21;92;0.19;0;23.73;9.14;46;0.202;12.733;0;3.89
16978183;2022-01-01 18:20:42;1;1;2022;18;20;42;20.2;92;0.19;0;23.71;9.31;46;0.206;12.7329;0;3.89
16978316;2022-01-01 18:26:02;1;1;2022;18;26;2;20.17;92;0.19;0;23.71;9.21;47;0.204;12.7331;0;3.89
16978592;2022-01-01 18:36:48;1;1;2022;18;36;48;20.11;92;0.19;0;23.68;9.19;47;0.204;12.7331;0;3.89
16978721;2022-01-01 18:42:08;1;1;2022;18;42;8;20.14;92;0.19;0;23.68;9.19;47;0.204;12.733;0;3.89
16978969;2022-01-01 18:52:53;1;1;2022;18;52;53;20.19;92;0.19;0;23.66;9.21;47;0.204;12.7331;0;3.89
16979091;2022-01-01 18:58:13;1;1;2022;18;58;13;20.22;92;0.19;0;23.61;9.19;47;0.204;12.7331;0;3.89
16979221;2022-01-01 19:03:33;1;1;2022;19;3;33;20.21;92;0.19;0;23.63;9.04;47;0.201;12.7329;0;3.89
16979346;2022-01-01 19:08:53;1;1;2022;19;8;53;20.18;92;0.19;0;23.63;9.24;46;0.205;12.733;0;3.89
16979465;2022-01-01 19:14:13;1;1;2022;19;14;13;20.21;92;0.19;0;23.63;9.26;46;0.205;12.7329;0;3.89
16979583;2022-01-01 19:19:33;1;1;2022;19;19;33;20.28;92;0.19;0;23.66;9.11;46;0.202;12.7327;0;3.89
16979704;2022-01-01 19:24:52;1;1;2022;19;24;52;20.19;92;0.19;0;23.61;9.16;47;0.204;12.7326;0;3.89
16979826;2022-01-01 19:30:12;1;1;2022;19;30;12;20.11;93;0.16;0;23.61;9.33;47;0.207;12.7328;0;3.89
16979940;2022-01-01 19:35:32;1;1;2022;19;35;32;20.07;93;0.16;0;23.63;9.16;47;0.203;12.733;0;3.89
16980186;2022-01-01 19:46:12;1;1;2022;19;46;12;20.1;93;0.16;0;23.58;9.26;47;0.206;12.733;0;3.89
16980313;2022-01-01 19:51:31;1;1;2022;19;51;31;20.16;93;0.17;0;23.56;9.16;47;0.204;12.733;0;3.89
16980566;2022-01-01 20:02:25;1;1;2022;20;2;25;20.16;93;0.17;0;23.56;9.24;47;0.205;12.7329;0;3.89
16980692;2022-01-01 20:07:52;1;1;2022;20;7;52;20.2;93;0.17;0;23.53;9.19;47;0.205;12.7327;0;3.89
16980820;2022-01-01 20:13:12;1;1;2022;20;13;12;20.24;93;0.17;0;23.56;9.14;46;0.204;12.7325;0;3.89
16981442;2022-01-01 20:40:09;1;1;2022;20;40;9;20.51;92;0.19;0;23.45;9.21;47;0.206;12.7315;0;3.89
16981571;2022-01-01 20:45:29;1;1;2022;20;45;29;20.63;92;0.19;0;23.51;9.09;46;0.203;12.7309;0;3.89
16981699;2022-01-01 20:50:48;1;1;2022;20;50;48;20.83;92;0.2;0;23.51;9.14;46;0.204;12.7305;0;3.89
16981813;2022-01-01 20:56:08;1;1;2022;20;56;8;20.83;92;0.2;0;23.45;9.29;47;0.207;12.7305;0;3.89
16981938;2022-01-01 21:01:27;1;1;2022;21;1;27;20.62;92;0.19;0;23.45;9.29;46;0.207;12.7306;0;3.89
16982186;2022-01-01 21:12:13;1;1;2022;21;12;13;20.43;93;0.17;0;23.45;9.21;47;0.206;12.7307;0;3.89
16982318;2022-01-01 21:17:32;1;1;2022;21;17;32;20.31;93;0.17;0;23.45;9.21;46;0.206;12.731;0;3.89
16982445;2022-01-01 21:22:52;1;1;2022;21;22;52;20.22;93;0.17;0;23.43;9.19;47;0.205;12.7313;0;3.89
16982679;2022-01-01 21:33:31;1;1;2022;21;33;31;20.26;93;0.17;0;23.43;9.24;46;0.206;12.7315;0;3.89
16982800;2022-01-01 21:38:51;1;1;2022;21;38;51;20.24;94;0.14;0;23.4;9.11;46;0.204;12.7317;0;3.89
16982924;2022-01-01 21:44:11;1;1;2022;21;44;11;20.24;94;0.14;0;23.4;9.11;46;0.204;12.7315;0;3.89
16983046;2022-01-01 21:49:30;1;1;2022;21;49;30;20.26;94;0.14;0;23.4;9.06;46;0.203;12.7316;0;3.89
16983165;2022-01-01 21:54:56;1;1;2022;21;54;56;20.25;94;0.14;0;23.4;9.21;46;0.206;12.7316;0;3.89
16983298;2022-01-01 22:00:26;1;1;2022;22;0;26;20.22;94;0.14;0;23.4;9.16;46;0.205;12.7318;0;3.89
16983425;2022-01-01 22:05:47;1;1;2022;22;5;47;20.19;94;0.14;0;23.4;9.24;46;0.207;12.7319;0;3.89
16983669;2022-01-01 22:16:35;1;1;2022;22;16;35;20.15;94;0.14;0;23.38;9.26;46;0.207;12.7319;0;3.89
16983915;2022-01-01 22:27:14;1;1;2022;22;27;14;20.12;94;0.14;0;23.35;9.26;46;0.207;12.7321;0;3.89
16984040;2022-01-01 22:32:34;1;1;2022;22;32;34;20.06;95;0.12;0;23.4;9.24;46;0.207;12.7323;0;3.89
16984164;2022-01-01 22:37:54;1;1;2022;22;37;54;20.04;95;0.12;0;23.35;9.16;46;0.205;12.7324;0;3.89
16984791;2022-01-01 23:05:05;1;1;2022;23;5;5;19.98;95;0.12;20;23.3;9.24;47;0.207;12.7328;1.11;3.88
16984894;2022-01-01 23:10:25;1;1;2022;23;10;25;20.03;95;0.12;51;23.3;9.11;47;0.205;12.7327;2.83;3.88
16985125;2022-01-01 23:21:11;1;1;2022;23;21;11;20.02;95;0.12;198;23.35;9.21;47;0.206;12.7326;11;3.88
16985244;2022-01-01 23:26:31;1;1;2022;23;26;31;20.04;95;0.12;335;23.3;9.26;47;0.208;12.7325;18.61;3.88
16985497;2022-01-01 23:37:16;1;1;2022;23;37;16;20.18;95;0.12;631;23.28;9.21;47;0.207;12.7322;35.06;3.88
16985619;2022-01-01 23:42:36;1;1;2022;23;42;36;20.21;95;0.12;785;23.3;9.16;47;0.206;12.7319;43.61;3.88
16985745;2022-01-01 23:47:56;1;1;2022;23;47;56;20.31;95;0.12;975;23.25;9.19;47;0.207;12.7316;54.17;3.88
16985864;2022-01-01 23:53:15;1;1;2022;23;53;15;20.5;95;0.12;1362;23.25;9.21;47;0.207;12.731;75.67;3.88
16985987;2022-01-01 23:58:34;1;1;2022;23;58;34;20.64;94;0.15;952;23.25;9.29;48;0.209;12.7303;52.89;3.88
16986107;2022-01-02 00:03:54;1;2;2022;0;3;54;20.72;94;0.15;1709;23.25;9.06;48;0.204;12.7297;94.94;3.89
16986350;2022-01-02 00:14:32;1;2;2022;0;14;32;20.87;93;0.17;2183;23.25;9.19;47;0.207;12.7278;121.28;3.9
16986599;2022-01-02 00:25:16;1;2;2022;0;25;16;21.17;93;0.18;2616;23.2;9.31;47;0.209;12.7259;145.33;3.9
16986724;2022-01-02 00:30:34;1;2;2022;0;30;34;21.34;93;0.18;2888;23.23;9.21;47;0.207;12.725;160.44;3.91
16986846;2022-01-02 00:35:53;1;2;2022;0;35;53;21.7;92;0.21;2372;23.23;9.21;47;0.207;12.7236;131.78;3.91
16986974;2022-01-02 00:41:18;1;2;2022;0;41;18;22.01;91;0.24;2018;23.2;9.14;46;0.206;12.7217;112.11;3.91
16987097;2022-01-02 00:46:48;1;2;2022;0;46;48;22.13;91;0.24;2038;23.2;9.21;46;0.207;12.72;113.22;3.91
16987396;2022-01-02 00:52:06;1;2;2022;0;52;6;22.28;90;0.27;2043;23.2;9.11;46;0.205;12.7178;113.5;3.91
16987856;2022-01-02 00:57:23;1;2;2022;0;57;23;22.43;89;0.3;2108;23.2;9.24;46;0.208;12.7156;117.11;3.91
16989180;2022-01-02 01:13:23;1;2;2022;1;13;23;22.28;89;0.3;3726;23.17;9.29;47;0.209;12.7127;207;3.92
16989531;2022-01-02 01:18:41;1;2;2022;1;18;41;22.57;88;0.33;2285;23.17;9.21;47;0.208;12.7117;126.94;3.91
16989659;2022-01-02 01:23:59;1;2;2022;1;23;59;22.71;88;0.33;2535;23.2;9.14;46;0.206;12.7098;140.83;3.92
16989793;2022-01-02 01:29:17;1;2;2022;1;29;17;22.94;87;0.36;2816;23.17;9.14;47;0.206;12.7082;156.44;3.93
16989919;2022-01-02 01:34:35;1;2;2022;1;34;35;23.25;87;0.37;4096;23.15;9.16;47;0.207;12.7065;227.56;3.92
16990041;2022-01-02 01:39:53;1;2;2022;1;39;53;23.36;86;0.4;3020;23.15;9.29;46;0.209;12.7047;167.78;3.92
16990176;2022-01-02 01:45:10;1;2;2022;1;45;10;23.62;86;0.41;3847;23.15;9.19;46;0.207;12.7033;213.72;3.93
16990312;2022-01-02 01:50:28;1;2;2022;1;50;28;23.59;85;0.44;5542;23.17;9.09;46;0.205;12.7023;307.89;3.94
16990713;2022-01-02 02:06:32;1;2;2022;2;6;32;24.41;83;0.52;14264;23.15;9.21;46;0.208;12.6975;792.44;3.94
